"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U2","TSSOP-8","16.3442mm","8.5527mm","16.3442mm","8.5527mm","17.3192mm","11.4527mm","T","270.00","IC"
"U1","SHARP_GP2AP03VT00F","10mm","7.5mm","10mm","7.5mm","11.5mm","6.762mm","B","180.00","IC"
"R11","RES-RC0603","6.9878mm","12.2997mm","6.9878mm","12.2997mm","6.2253mm","12.2997mm","T","360.00","RES"
"R9","RES-RC0402","8.9632mm","3.1974mm","8.9632mm","3.1974mm","8.4656mm","3.1974mm","T","360.00","RES"
"R8","RES-RC0402","8.9632mm","4.3783mm","8.9632mm","4.3783mm","8.4656mm","4.3783mm","T","360.00","RES"
"R5","RES-RC0402","16.0455mm","3.2579mm","16.0455mm","3.2579mm","16.5431mm","3.2579mm","T","180.00","RES"
"R4","RES-RC0402","11.1415mm","3.1974mm","11.1415mm","3.1974mm","11.6391mm","3.1974mm","T","180.00","RES"
"R3","RES-RC0402","11.1415mm","4.3783mm","11.1415mm","4.3783mm","11.6391mm","4.3783mm","T","180.00","RES"
"R2","RES-RC0402","12.8364mm","3.797mm","12.8364mm","3.797mm","12.8364mm","3.2994mm","T","90.00","RES"
"R1","RES-RC0402","10.1034mm","10.8933mm","10.1034mm","10.8933mm","9.6058mm","10.8933mm","T","360.00","RES"
"J1","A1001AWV-06","5mm","6.9mm","5mm","6.9mm","6.265mm","4.4mm","T","180.00","CONNECT"
"C4","CAP-CC0402","12.1912mm","11.1402mm","12.1912mm","11.1402mm","12.1912mm","10.6402mm","T","90.00","Cap"
"C3","CAP-CC0402","16.0424mm","2.1778mm","16.0424mm","2.1778mm","16.5424mm","2.1778mm","T","180.00","Cap"
"C2","CAP-CC0402","7.9354mm","10.8853mm","7.9354mm","10.8853mm","8.4354mm","10.8853mm","T","180.00","Cap"
"C1","CAP-CC0603","13.5708mm","11.5652mm","13.5708mm","11.5652mm","13.5708mm","10.8027mm","T","90.00","Cap"
"C5","CAP-CC0603","10.0335mm","12.291mm","10.0335mm","12.291mm","9.271mm","12.291mm","T","360.00","Cap"

